,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
664,024890,KR7024890006,대원화성,KOSPI,,2560,2,-45,-1.73,2565,2635,2525,391273,1012462605,105597829120,41249152,STK
665,023810,KR7023810005,인팩,KOSPI,,10480,2,-230,-2.15,10850,10920,10350,87114,922980630,104800000000,10000000,STK
666,244920,KR7244920005,에이플러스에셋,KOSPI,,4625,2,-105,-2.22,4745,4745,4540,112331,515705775,104560580125,22607693,STK
667,004060,KR7004060000,SG세계물산,KOSPI,,514,2,-7,-1.34,521,526,513,405187,209446281,104046429440,202424960,STK
668,227840,KR7227840006,현대코퍼레이션홀딩스,KOSPI,,11400,2,-20,-0.18,11380,11420,11250,8286,93908760,103749530400,9100836,STK
669,031820,KR7031820004,콤텍시스템,KOSPI,,857,1,22,2.63,835,870,830,2215335,1895242538,103741106362,121051466,STK
670,000220,KR7000220004,유유제약,KOSPI,,6010,2,-70,-1.15,6080,6080,5980,23496,141330940,103566429510,17232351,STK
671,446070,KR7446070005,유니드비티플러스,KOSPI,,9660,1,40,0.42,9540,9870,9540,68707,667797070,102504336900,10611215,STK
672,012690,KR7012690004,모나리자,KOSPI,,2800,2,-5,-0.18,2805,2815,2780,30019,83725320,102399514000,36571255,STK
673,002760,KR7002760007,보락,KOSPI,,1700,2,-40,-2.3,1740,1755,1700,734649,1259573441,101830000000,59900000,STK
674,006370,KR7006370001,대구백화점,KOSPI,,9400,2,-30,-0.32,9430,9670,9400,551,5201230,101723143400,10821611,STK
675,380440,KR7380440008,엔에이치스팩19호,KOSPI,,9890,2,-20,-0.2,9880,9920,9880,35484,350855630,101451620000,10258000,STK
676,016740,KR7016740003,두올,KOSPI,,3065,1,5,0.16,3060,3115,3040,89759,277075950,101349374200,33066680,STK
677,006660,KR7006660005,삼성공조,KOSPI,,12450,1,20,0.16,12430,12550,12240,36982,458123450,101172609300,8126314,STK
678,092440,KR7092440007,기신정기,KOSPI,,3460,1,5,0.14,3470,3475,3420,9798,33685950,101032000000,29200000,STK
679,004540,KR7004540001,깨끗한나라,KOSPI,,2705,2,-35,-1.28,2750,2750,2695,26378,71339255,100736074565,37240693,STK
680,002460,KR7002460004,화성산업,KOSPI,,9870,3,0,0.0,9870,10030,9770,34104,336618250,100180500000,10150000,STK
681,396690,KR7396690000,미래에셋글로벌리츠,KOSPI,,3445,3,0,0.0,3445,3480,3410,32372,111286945,100111700000,29060000,STK
682,005800,KR7005800008,신영와코루,KOSPI,,11120,2,-30,-0.27,11140,11160,11120,923,10267490,100080000000,9000000,STK
683,002140,KR7002140002,고려산업,KOSPI,,4000,2,-220,-5.21,4225,4240,3980,1353521,5487953855,99757700000,24939425,STK
684,016090,KR7016090003,대현,KOSPI,,2240,2,-5,-0.22,2245,2250,2225,73697,164661805,99192374400,44282310,STK
685,011230,KR7011230000,삼화전자,KOSPI,,8150,2,-710,-8.01,8480,8630,7910,3003452,24764825000,98637005000,12102700,STK
686,004720,KR7004720009,팜젠사이언스,KOSPI,,6170,2,-200,-3.14,6370,6390,6000,139460,857316540,97774681960,15846788,STK
687,015260,KR7015260003,에이엔피,KOSPI,,2320,2,-130,-5.31,2475,2520,2250,2162604,5215560375,97767904160,42141338,STK
688,090080,KR7090080003,평화산업,KOSPI,,1775,2,-6,-0.34,1890,2000,1775,60178101,114057507872,97451509725,54902259,STK
