유동비율,자기자본이익률,자기자본성장률,총자산회전율,매출총이익성장률,총자산이익률,label
71.78,2.37,6.61,53.8,17.34,0.69,0
141.14,-1.26,-7.0,0.0,-25.33,-0.68,0
346.62,0.0,13.49,0.0,16.51,0.0,0
228.55,1.66,6.58,28.16,18.06,1.27,0
38.03,-0.82,-5.24,25.85,62.91,-0.19,0
65.45,-0.94,-2.28,0.0,59.27,-0.47,0
355.31,1.17,2.81,0.0,-3.5,0.86,0
1291.81,0.0,3.73,0.0,-4.39,0.0,0
144.6,0.2,3.83,14.45,3.44,0.09,0
131.71,3.27,10.06,0.0,-17.45,1.26,0
402.34,1.26,3.94,0.0,1.35,1.03,0
591.25,0.0,33.81,23.97,58.59,0.0,0
42.79,-14.25,-37.25,0.0,-7.87,-2.27,1
155.49,0.0,2.17,30.07,-6.38,0.0,0
132.41,2.68,10.44,0.0,-6.39,1.61,0
104.59,-1.02,-6.56,0.0,3.64,-0.51,0
260.2,1.93,6.66,0.0,5.95,1.43,0
95.18,0.46,1.39,20.98,126.36,0.24,0
668.92,7.22,75.14,37.23,33.63,5.26,0
207.44,0.0,6.13,44.12,4.1,0.0,0
443.03,6.08,26.09,26.29,47.03,4.6,0
235.0,0.21,0.95,0.0,-322.19,0.07,0
183.44,0.0,12.93,26.11,-4.65,0.0,0
663.8,1.93,-9.87,0.0,-2.5,1.74,0
844.57,0.33,-0.19,21.89,-38.69,0.3,0
613.71,1.38,16.36,0.0,-12.57,1.17,0
51.48,-2.02,-31.98,19.74,-38.44,-0.97,1
45.24,-14.01,-44.25,0.0,72.75,-2.96,0
48.08,0.0,16.01,0.0,19.25,0.0,0
52.21,1.57,12.06,13.61,11.35,0.81,0
195.25,0.61,0.17,17.71,1.44,0.44,0
230.34,2.76,9.53,0.0,-20.69,1.62,0
415.08,0.88,2.46,0.0,121.03,0.75,0
55.0,2.01,6.48,18.58,29.62,0.65,0
339.42,6.08,26.63,0.0,149.55,4.41,0
179.1,0.0,8.15,36.96,-15.47,0.0,0
583.47,-19.53,60.75,0.0,295.85,-7.25,0
168.09,8.35,42.22,0.0,20.42,5.87,0
295.04,2.17,78.01,0.0,13.62,1.12,0
633.32,0.3,14.73,0.0,-24.62,0.28,0
182.88,1.34,7.19,0.0,760.97,0.77,0
219.97,3.83,15.8,0.0,760.97,2.77,0
68.42,0.84,3.21,18.26,111.67,0.29,0
668.65,-0.12,-1.22,9.77,-18.18,-0.11,0
565.32,2.05,5.86,0.0,2.08,1.84,0
348.13,0.0,2.99,13.9,-24.63,0.0,0
985.77,2.67,8.24,18.17,34.78,2.44,0
359.41,5.18,17.69,28.86,12.09,4.48,0
149.26,0.78,1.29,0.0,-5.72,0.66,0
174.77,0.0,4.31,18.79,-3.64,0.0,0
705.16,5.07,309.28,20.43,19.9,3.63,1
238.39,1.27,9.66,31.12,-3.11,0.8,1
136.03,7.32,32.63,37.19,68.71,2.85,0
426.72,0.0,37.17,44.85,-31.35,0.0,0
251.07,1.01,3.73,0.0,455.38,0.8,0
370.24,-10.27,-18.93,0.0,595.94,-8.56,1
207.75,-6.62,255.7,15.16,-26.54,-3.49,1
68.57,-0.48,-2.71,0.0,0.98,-0.29,0
322.0,0.95,-6.07,16.93,12.74,0.64,0
114.03,0.0,3.0,0.0,8.44,0.0,0
271.95,3.09,12.87,0.0,136.6,2.16,0
220.63,-1.23,-5.13,0.0,-35.84,-0.81,0
187.55,2.87,89.58,0.0,20.36,1.76,0
1123.58,4.88,14.01,0.0,7.81,4.6,0
226.19,2.25,9.05,32.08,-13.16,1.3,0
67.49,-4.06,-2.22,35.22,-6.52,-1.58,0
529.2,2.43,6.48,0.0,-44.9,2.11,0
382.95,2.57,10.22,0.0,21.23,1.51,0
167.79,3.27,8.18,0.0,-1.29,1.91,0
1590.64,7.66,-45.11,1.05,160.3,6.4,0
171.37,4.58,51.27,21.22,5.34,3.22,0
206.02,10.73,37.79,11.12,4.86,5.56,0
228.33,0.65,24.92,0.0,23.0,0.47,0
1719.16,-1.75,-4.58,7.17,-322.19,-1.49,0
110.98,0.43,18.17,0.0,55.61,0.26,0
216.73,10.73,309.28,10.74,-5.75,3.1,0
98.86,-10.23,-35.72,19.32,105.36,-5.35,0
111.74,-6.1,-8.36,0.0,9.85,-2.51,0
294.95,0.0,8.08,40.66,-2.5,0.0,0
65.45,0.45,25.87,0.0,-0.72,0.18,0
577.81,2.32,8.47,0.0,-49.34,2.06,0
641.05,-2.32,-8.75,13.77,337.83,-2.09,0
92.68,0.89,0.99,0.0,-1.74,0.37,0
74.8,0.63,0.2,13.56,23.17,0.3,0
152.57,0.0,1.45,13.37,-23.52,0.0,0
75.62,0.0,0.59,15.33,33.94,0.0,0
308.08,0.0,1.21,26.57,-16.02,0.0,0
1541.37,0.11,31.58,21.04,-25.84,0.09,1
107.0,0.93,2.82,20.4,191.74,0.53,0
